Timestamp,What is your age group?,What gender do you identify with?,How would you describe your ethnicity?,Do you consider yourself to have a disability or long term health condition?,What is your sexual orientation?,Please indicate the following about your employment status:,What is your religious belief?,Where do you currently live?,Had you been to a sauna before you came to Community Sauna?,How did you hear about the Community Sauna?,How often do you visit our sauna?,Which of our sauna locations do you visit most often?,Have you experienced any physical health improvements from using the sauna?,Have you experienced any mental health improvements from using the sauna?,"How important is having regular access to sauna?

On a scale of 1 to 5, where 1 is low and 5 is high",What do you enjoy most about the community sauna?,Are you satisfied with the temperature at our saunas?,"If you’re not satisfied, could you please explain why",Are you satisfied with the amount of customers during the sessions?,"If you’re not satisfied, could you please explain why2",Do you feel a sense of belonging or community when using the sauna?,"How would you rate  the overall cleanliness and hygiene of the sauna facilities?

On a scale of 1 to 5, where 1 is low and 5 is high","How would you rate the staff’s friendliness and professionalism? 

On a scale of 1 to 5, where 1 is low and 5 is high","How would you rate the overall ambiance and atmosphere of the sauna?

On a scale of 1 to 5, where 1 is low and 5 is high","Are the sauna prices reasonable and in line with your expectations?

On a scale of 1 to 5, where 1 is low and 5 is high",What improvements or additions would you like to see in the sauna facilities or services?,"Do you know of any specific location where we could set up a community sauna? (e.g., a park, unused building, or local space)","What improvements would you suggest for the facilities, services, or events?",Are you familiar with our social prescribing offers and services?,"If yes, how did you hear about it?",Please share why community sauna is important to you?,In which area of London would you like us to set up a sauna?,What topics would you like to hear more about from us in our communications? (Select all that apply),Is there anything else you would like to share or comment on regarding your experiences at the community sauna in London?
45690.6395378125,35–44,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,Once or twice,Word of mouth,Monthly,Peckham,No,Yes,3,Improved mood,Yes,,Yes,,3,4,4,4,3,,,,No,,,South East London,,
45690.6692048264,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Agnosticism,East London,I was already a regular sauna user,Local newspaper article,Weekly,Stratford,Not sure,Not sure,5,"Improved mood, Assists me with my mental health resilience, Improved my health",Yes,,Yes,,3,4,5,4,5,Working thermostats and timer clocks in the sauna,,,No,,,,,
45690.7547909954,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Spiritual but not Religious,East London,Once or twice,Website,Monthly,Stratford,Not sure,Yes,4,"Improved mood, Improved sense of belonging to the local community.",Yes,,Yes,,4,4,5,5,5,Warm(ish) showers? Less talking in the silent sauna but I know that’s not up to you haha,No,,No,,Lovely to be able to take care of yourself with friends in such a nice setting,North East London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45690.7914270602,45–54,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Bisexual/Pansexual,Self employed,Judaism,Another UK city,Once or twice,Word of mouth,Rarely,Stratford,Yes,Yes,5,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,4,4,5,5,5,,,,No,,Health benefits community feeling accessibilty,South East London,"Sauna health benefits, Upcoming events",
45690.8190521991,45–54,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Business owner,Agnosticism,East London,Once or twice,Boyfriend ,Monthly,Hackney Wick,Not sure,Not sure,3,It’s a nice part of self care ,Sometimes,Some are too hot ,No,"Some saunas are worst than the pub, too loud ",3,4,5,3,3,"Better changing rooms, cleaner plumge pools, quieter saunas on the bigger ones ",Not really ,More events that don’t sell out imid,No,Posters,It’s nice to feel welcome ,East London ,Upcoming events,The booking system for members didn’t work out well for me and others I spoke too…
45690.8389374537,45–54,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Spiritual but not Religious,East London,I was already a regular sauna user,Word of mouth,Monthly,Stratford,Not sure,Not sure,4,Improved mood,Yes,,Yes,,3,5,5,5,5,,Would love one around Lea Bridge Road :),,No,,Mental and physical health. ,,,It’s brilliant Thankyou 
45690.8717978356,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Spiritual but not Religious,East London,I was already a regular sauna user,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Improved my fitness performance, Improved mood, Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,5,5,5,5,5,,,,Yes,Social Media,,Central London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events",
45690.8776217708,25–34,Female,"White (e.g., British, Irish, other European background)",No,Homosexual,Employed,Prefer not to say,East London,Never,Instagram,Monthly,Hackney Wick,Yes,Yes,4,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,4,5,5,5,5,Another silent/quiet sauna,,,Yes,Your website,,,,
45690.8872137963,35–44,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,Once or twice,Instagram,Weekly,Hackney Wick,Yes,Yes,4,"Improved my fitness performance, Improved mood, Improved my health",Yes,,Yes,,4,4,5,5,5,Keep them hot!,,,Yes,Social Media,,Central London,"Sauna health benefits, Upcoming events",
45690.9743705093,45–54,Female,Prefer not to say,Prefer not to say,Prefer not to Say,Self employed,Prefer not to say,East London,I was already a regular sauna user,Word of mouth,Rarely,Stratford,Yes,No,5,Improved my health,Yes,,Yes,,2,4,4,3,3,,"Claps Gate Lane, check in with https://www.royaldocks.london/",,Yes,Newsletters,,East London (further East than Stratford),Sauna health benefits,
45691.0200021528,18–24,Female,"Other ethnic group (please specify): ______________, Prefer not to say",No,Bisexual/Pansexual,Student,Christianity,North East London,Never,Community events,Weekly,Hackney Wick,No,No,1,Improved mood,Yes,,Yes,,5,5,,5,5,,,,No,Charity Partner,,North East London,Sauna health benefits,
45691.020256713,35–44,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",Yes,Bisexual/Pansexual,Employed,Atheism,North East London,Once or twice,Word of mouth,Rarely,Stratford,Yes,Yes,4,"Improved mood, Improved sense of belonging to the local community., Increased my body confidence",Yes,,Yes,,4,5,5,5,4,Doors on changing rooms,,,Yes,Social Media,"It's an easy, unintimidating way to take part in a really lovely experience ",North East London,"Sauna health benefits, Sauna etiquette or best practices",
45691.0728797917,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Buddhism,East London,Once or twice,Word of mouth,Monthly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors, I made new friends at the sauna",Yes,,Yes,,5,5,5,5,5,,NA,NA,Yes,Social Media,,South East London,"Sauna health benefits, Upcoming events, Stories and testimonials from the community",
45691.3605371875,25–34,Female,"White (e.g., British, Irish, other European background)",Prefer not to say,Heterosexual,Employed,Atheism,North East London,Never,Word of mouth,Rarely,,,,,,,,,,,,,,,,,,,,,,,
45691.3822007523,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,I was already a regular sauna user,Website,Monthly,Stratford,Not sure,Yes,3,"Improved mood, Improved sense of belonging to the local community., Helped me connect with the outdoors",Yes,,Yes,,4,3,4,4,4,,Barking Riverside development,"Rent-a-towel, sauna rituals, more membership options",Yes,Friend,Provides a budget option to regularly visit sauna and engage with local community,South East London,"Behind the scenes, Sauna etiquette or best practices, Upcoming events","Rarely, but there have been occasions of customers being verbally abusive towards others or exhibiting selfish behaviour when they keep adding more water increasing the temperature and making it unbearable for others. I think staff must be prepared to deal with those causing the conflict and have measures they could use to prevent this sort of behaviour, up to the customer being banned if necessary to safeguard the rest of the community. "
45691.3839348264,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,Once or twice,Word of mouth,Weekly,Bermondsey,Yes,Yes,5,"Improved my fitness performance, Improved mood, Assists me with my mental health resilience, Improved my health",Yes,,No,It can be too busy. Especially with the one hour sessions when everyone is arriving and leaving at the same time and getting changed.,4,3,4,5,5,More cold plunges or buckets,Kingswood Arts,Make walk in spots actually walk in spots that can't be pre booked earlier in the day. ,No,,"It is a self care ritual good for the mind, body and soul. It is a nice way to socialise without drinking.",South East London,"Sauna health benefits, Behind the scenes, Upcoming events, Stories and testimonials from the community, Not-for-profit work",I think staff could ensure that people shower before plunging. I go at least once a week and 50-80% of the session do not shower before plunging. 
45691.3909115162,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,Once or twice,Word of mouth,Monthly,Stratford,No,Yes,4,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors",Sometimes,"Sometimes people really go OTT with adding steam...it starts to feel like extreme test for (often 2-3 male friends), which spoils that sauna for everyone else for the duration of the session. ",Yes,"Sometimes too busy in Hackney, no space for plunging but I just use the showers when that happens so all good.",4,4,5,4,4,Towel hooks and natural shower gels - one hair drier per sauna would be good because leaving in really cold conditions with wet hair isn't great. Hats help if not.,,,No,,It's a great time. Great staff :),North East London,"Sauna health benefits, Upcoming events",
45691.3970969213,18–24,Female,"White (e.g., British, Irish, other European background)",No,Prefer not to Say,Employed,Atheism,Another UK city,Once or twice,Google maps,Rarely,Hackney Wick,Yes,Yes,4,"Improved mood, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,2,4,5,5,4,,,Encourage people to feel comfortable to talk to each other. Awareness that saunas can be social and you don't have to sit in silence,Yes,newsletters,Fun and relaxing thing to do by myself or with friends,South East London,"Behind the scenes, Sauna etiquette or best practices",
45691.4004362269,25–34,Female,"Mixed or multiple ethnic groups (e.g., White and Black Caribbean, White and Asian)",No,Heterosexual,Employed,Spiritual but not Religious,East London,I was already a regular sauna user,Word of mouth,Monthly,Stratford,Yes,Yes,4,Improved mood,Yes,,Yes,,3,4,5,5,3,Would be great to have the local feature added back to the app - I want to book in advance as it fills up so quickly and have had to pay full price. It’s more affordable with a discount and if I want to go more regularly,,Expanding in the Stratford area as it seems to be booked all the time now,No,,It really helps with my wellbeing and how I feel about myself,,Sauna health benefits,
45691.4077797569,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Unemployed,Agnosticism,North East London,Once or twice,Word of mouth,Rarely,Hackney Wick,Yes,Yes,5,"Improved my fitness performance, Improved mood",Yes,,Yes,,2,1,5,5,3,The price is a bit high for an outdoor sauna during peak times. The plunge baths and changing facilities could be cleaner. ,,,No,,"Affordable sauna, like in Scandinavia. ",North East London,,
45691.4104542245,25–34,Non-binary,Prefer not to say,Prefer not to say,Prefer not to Say,Employed,Prefer not to say,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,No,Yes,4,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,3,4,4,5,4,,,,Yes,,a friendly place to be low key and pause in the city,,Sauna etiquette or best practices,
45691.411464537,25–34,Female,Other ethnic group (please specify): ______________,No,Homosexual,Employed,Christianity,East London,Once or twice,Instagram,Weekly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved my health, Helped me connect with the outdoors, I made new friends at the sauna",Yes,,Yes,,5,4,5,4,4,More budget friendly options and flex for those working 9-5 M-F,N/A,Facilities in North London,No,,Its good for my mental health especially when I work a mentally demanding job,North East London,"Sauna health benefits, Upcoming events",N/A
45691.4155360417,45–54,Male,"White (e.g., British, Irish, other European background)",No,Homosexual,Business owner,Buddhism,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Improved mood, Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors",Sometimes,the silent sauna han't been warm enough in the last weeks / morning sessions,No,Too busy at times better charge a bit more and have less people?,3,2,3,4,5,"Make showering mandatory, the tubs water is dirty. Maybe a sieve to collect hair and dirt before going in could help? Put bigger signs so people feel bad if they don't shower, staff should tell people off if they don't do it. Also cleaning the changing rooms better would help to make the experience more enjoyable. ",,Changing rooms indoors / cubical toilet outside / cleaning ,Yes,Newsletter,It makes me feel good,,"Sauna health benefits, Sauna etiquette or best practices, Not-for-profit work",
45691.4186921181,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Employed,,North East London,Once or twice,Word of mouth,Monthly,Stratford,Yes,Yes,4,"Improved mood, Improved sense of belonging to the local community.",No,"I think people aren't used to using saunas and so tend not to put water on the coals, which over time means that it gets too hot and then is unbearable when people do put water on the coals so everyone avoids it for longer making the temperature even hotter. I think this is just a getting used to sauna thing but maybe some signage or guidance on regular ladles of water being helpful to maintain good temperatures would be helpful.",Yes,,5,5,5,5,5,You are doing a wonderful job!!!!,,,No,,It is such a wonderful social space free from alcohol. It makes me feel connected to myself and to others particularly in a frantic city like London it feels like a pocket of calm,North East London,"Sauna etiquette or best practices, Upcoming events",
45691.4292613889,35–44,Male,"White (e.g., British, Irish, other European background)",No,Prefer not to Say,Business owner,Spiritual but not Religious,North London,Once or twice,Word of mouth,Weekly,Hackney Wick,Not sure,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,"It can be busy sometimes and you have to try a couple of Sauna's to get a space - but appreciate you have to allow enough people in to sustain the business. So I'm satisfied overall, but sometimes a quiet session would be fantastic.",4,3,5,5,3,"Specific quiet days, with no talking permitted. The floor in the changing area can be quite grotty sometimes (and freezing cold), could benefit from a soft mat perhaps.","There's several potential locations along Seven Sisters Road and the Warehouse district. For example: N15 6DR (space beside Cara House), N15 6HD (Car park of former Stamford Hill School), N15 6HR (car park of Volvo Garage now permanently closed) etc",As above - quiet events with a focus on silent meditation would be amazing.,No,,"It provides a safe space to relax, recover and mediate from the stresses of daily life. If you could find a site in Seven Sisters / Harringay Warehouse District that would be wonderful! ",Seven Sisters / Harringay Warehouse District,"Sauna etiquette or best practices, Upcoming events, Not-for-profit work",Love your work - keep doing what you do!!!
45691.4356116551,25–34,Non-binary,"White (e.g., British, Irish, other European background)",Prefer not to say,Bisexual/Pansexual,Self employed,Atheism,North London,"Yes but very rarely until the last year, when I joined a gym near my house that has one!",Word of mouth,Rarely,Hackney Wick,Yes,Yes,2,"Improved mood, Assists me with my mental health resilience, Increased my body confidence",Yes,,Yes,,3,4,5,5,3,,,,No,,"I love the model, I'm very happy paying what I feel is quite a high rate to access the sauna (but which I am nevertheless able to pay) if it enables other folks to access it who might otherwise not be able to. Like, all resources should be universally distributed anyway. And I think the focus on community changes the vibe of the space for the better. Love your work :)",North East London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45691.4408584375,25–34,Female,"Asian or Asian British (e.g., Indian, Pakistani, Bangladeshi, Chinese)",No,Bisexual/Pansexual,Employed,Prefer not to say,East London,I was already a regular sauna user,Word of mouth,Weekly,Hackney Wick,Not sure,Not sure,3,Helped me connect with the outdoors,Yes,,No,Too busy,2,1,3,4,3,"The plunge pool water being regularly cleaned, warm showers",Bethnal Green,cleaner facilities and lower prices for peak times. Clearer signposting and implementation of sauna etiquettes and rules,No,,It keeps me warm and helps me to switch off from the business of London,East,Sauna etiquette or best practices,The staff at the place are sometimes quite rude. Also there are huge queues when checking in which wastes time. 
45691.446799213,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Prefer not to say,South West London,Once or twice,Website,Monthly,Stratford,Yes,No,5,"Improved mood, Improved my health",Yes,,Yes,,4,5,5,5,5,,,,Yes,Social Media,,South West London,Sauna health benefits,
45691.4549106366,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Spiritual but not Religious,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Improved sense of belonging to the local community., Improved my health, Helped me connect with the outdoors, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,5,4,5,5,5,"Maybe just the visitor's etiquette. There's not a lot of showering happening before cold plunges, and people are not that aware to close the sauna doors promptly which let's sooo much cold air in, but other than that, it's a joy!",,,No,,"It's just such a happy place and a highlight to my week. The music and space is so well curated, the price is so achievable and I love the inclusivity.",,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",
45691.4769898843,35–44,Male,Arab,No,Heterosexual,Self employed,Prefer not to say,North London,Occassionally,Word of mouth,Rarely,Hackney Wick,Not sure,Not sure,4,"Improved mood, I made new friends at the sauna",Yes,,Yes,,4,5,4,5,5,Easier booking and last minute slots if there are cancellations or people don't turn up. ,,,No,,,North West London,,
45691.4776903588,35–44,Male,"White (e.g., British, Irish, other European background)",Yes,Homosexual,Employed,Agnosticism,North East London,Once or twice,Word of mouth,Monthly,Hackney Wick,No,No,3,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience",Yes,,Yes,,3,3,4,4,3,,South of the River? Various Infill sites in Hackney?,Improve external floor treatment,No,,,Central London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45691.4806597107,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Agnosticism,South East London,Once or twice,Word of mouth,Rarely,Bermondsey,Not sure,Yes,4,"Improved mood, Improved sense of belonging to the local community., Improved my health",Yes,,Yes,,4,5,5,5,4,,,,No,,,South East London,Not-for-profit work,
45691.5277287731,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Spiritual but not Religious,East London,I was already a regular sauna user,Word of mouth,Monthly,Stratford,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community.",Yes,,No,Sometimes in the day sessions it feels a few to many. I enjoy the last evening session as it has less bookings ,3,4,5,5,4,Access to running water for drinking more accessible there are often not enough cups or the water has run out. ,I’d love to see one in Leyton somewhere ,,Yes,Email,"I love the whole vibe, how it’s an alternative place to socialise. It enables physical and mental health benefits ",North East London,Upcoming events,
45691.5292475,45–54,Female,"Black, Black British, African, or Caribbean",Yes,Heterosexual,Employed,Christianity,North East London,Once or twice,Instagram,Monthly,Hackney Wick,Yes,Yes,,Improved mood,Yes,,Yes,,2,4,5,4,4,,,,Yes,Social Media,,North East London,Sauna health benefits,
45691.5371015741,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,5,5,5,5,5,The online booking has obviously been a bit chequered but has improved! ,,,No,,"It's a brilliant, friendly and welcoming space and I love that the price point is reasonable. It's made me feel even more connected to my local area. I love it!",North East London,"Sauna health benefits, Upcoming events, Not-for-profit work",
45691.5994931134,35–44,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Business owner,Judaism,North London,I was already a regular sauna user,Instagram,Rarely,Hackney Wick,Not sure,Yes,5,"Helped with physical pain management, Improved mood",Yes,,Yes,,2,4,5,5,4,Exclusive Male only use for at least one session a couple times a week rotating the session time too,"143 Stoke Newington Church St, London N16 0UH",Hot or warm showers,Yes,Social Media,,North East London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices",
45691.6014096528,25–34,Male,"White (e.g., British, Irish, other European background)",No,Prefer not to Say,Self employed,Agnosticism,South East London,I was already a regular sauna user,Word of mouth,Weekly,Bermondsey,Yes,Yes,5,"Helped with physical pain management, Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,4,5,5,5,5,"More available slots during the week, a rain shelter so you can sit undercover",no currently,,No,,its helps my mental health and my physical health,South East London,"Sauna health benefits, Sauna etiquette or best practices","keep doing what your doing, Its so needed for all!"
45691.6099087037,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,North London,Once or twice,Word of mouth,Rarely,Stratford,Yes,Yes,4,"Improved mood, Assists me with my mental health resilience",Yes,,Yes,,4,5,4,5,4,,Finsbury Park - perhaps next to the community garden (there are two!),maybe a warm shower for afterward in winter ,Yes,Social Media,Access to sauna is good for my health,North East London,"Sauna health benefits, Sauna etiquette or best practices, Not-for-profit work",
45691.624636794,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South East London,I was already a regular sauna user,Word of mouth,Rarely,Hackney Wick,No,No,2,Improved mood,Yes,,Yes,,3,3,4,4,5,,,Offering the NHS (and other subsidised sessions) at all of your sites. ,Yes,Your website i think,,South East London,"Sauna etiquette or best practices, Upcoming events",
45691.6265345255,25–34,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Unemployed,Spiritual but not Religious,North East London,Never,Word of mouth,Rarely,Hackney Wick,Yes,Yes,4,"Improved my fitness performance, Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,5,5,5,5,4,None!,No sorry,Summer sauna party? ,Yes,Posters,"Bring people together, feel revitalised. Sense of belonging",North East London,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",Thank you!!!! You're awesome.
45691.6268696065,25–34,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Spiritual but not Religious,Another UK city,I was already a regular sauna user,From a friend,Weekly,Hackney Wick,Yes,Yes,5,"Improved my fitness performance, Improved mood, Improved sense of belonging to the local community., Assists me with my mental health resilience, I made new friends at the sauna, Increased my body confidence",Yes,,No,Lately it’s been feeling a little too crowded,5,5,5,5,5,,Plot 9 in Greenwich?,,Yes,Social Media,"Because it helps me stay stable mentally, emotionally and spiritually. ",South East London,"Sauna health benefits, Behind the scenes, Stories and testimonials from the community",Discovering it was the absolute highlight of my last year! 
45691.628452338,35–44,Female,Other ethnic group (please specify): ______________,No,Heterosexual,Employed,Agnosticism,North London,I was already a regular sauna user,Word of mouth,Rarely,Hackney Wick,No,No,5,"Improved mood, I made new friends at the sauna",Yes,,No,I couldn't get inside one of the saunas because it was always full,4,3,4,3,5,I think it would be nice to have an area to rest after the sessions,,,Yes,Posters,,Central London,"Sauna etiquette or best practices, Upcoming events",
45691.6377268981,55–64,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Self employed,Christianity,North London,I was already a regular sauna user,Word of mouth,Monthly,Stratford,Not sure,Yes,5,Assists me with my mental health resilience,Yes,,Yes,,4,5,5,5,5,,,,No,,Love the outdoor setting and cold plunge ,,Sauna health benefits,
45691.6484806366,35–44,Female,"White (e.g., British, Irish, other European background)",Yes,Heterosexual,Employed,Atheism,East London,Once or twice,Word of mouth,Monthly,Stratford,Not sure,Not sure,4,"Helped with physical pain management, Improved mood",Yes,,Yes,,4,4,5,4,4,"For Stratford, improved changing/showering (rather than cold shower between sauna & plunge) would make it much easier to attend before work. 
NHS sessions in the evening too would be incredible - most of us start work between 8 and 9am so the current morning sessions aren't possible most of the time ",130 Trumpington Road E7 9EQ - unused assisted living facility that's been unoccupied (except by occasional guardians) for 8+ years,Warm showers (to wash hair) and changing rooms with doors at Stratford ,Yes,Social Media,A moment of calm in the city,East East London,"Behind the scenes, Sauna etiquette or best practices, Upcoming events, Not-for-profit work",
45691.6897106134,35–44,Male,"White (e.g., British, Irish, other European background)",Yes,Heterosexual,Business owner,Spiritual but not Religious,South East London,Once or twice,Word of mouth,Monthly,Peckham,Yes,Yes,1,"Improved mood, Assists me with my mental health resilience, Improved my health, Helped me connect with the outdoors, Increased my body confidence",Yes,,Yes,,3,5,5,5,5,,,,Yes,Posters,,Central London,,
45691.6898765972,25–34,Female,"White (e.g., British, Irish, other European background)",Yes,Bisexual/Pansexual,Employed,Atheism,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,Not sure,Yes,5,"Improved mood, Assists me with my mental health resilience",Yes,,Yes,,3,5,5,5,5,,,,No,,,,"Sauna health benefits, Behind the scenes, Sauna etiquette or best practices, Upcoming events, Stories and testimonials from the community, Not-for-profit work",
45691.6899513426,35–44,Female,"White (e.g., British, Irish, other European background)",No,Homosexual,Employed,Spiritual but not Religious,North East London,Once or twice,Word of mouth,Monthly,Hackney Wick,Yes,Yes,3,"Improved mood, Improved sense of belonging to the local community., Improved my health, Helped me connect with the outdoors, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,5,5,5,5,5,,,,No,,,North East London,"Sauna health benefits, Upcoming events",
45691.6901803009,35–44,Female,"White (e.g., British, Irish, other European background)",No,Prefer not to Say,Self employed,Atheism,South East London,I was already a regular sauna user,Word of mouth,Monthly,Peckham,,No,3,Improved mood,Yes,,Yes,,4,3,5,4,3,,,,Yes,Social Media,,South East London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events",
45691.6904735995,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Business owner,Atheism,South East London,I was already a regular sauna user,Maps,Weekly,Bermondsey,Yes,Yes,5,"Improved my fitness performance, Improved mood, Improved my health",Yes,,Yes,,3,4,5,5,5, Coffee ,Your tribe Peckham ,None ,No,,Physical health benefits ,South East London,"Sauna health benefits, Upcoming events, Not-for-profit work",
45691.6905397685,35–44,Male,"White (e.g., British, Irish, other European background)",No,Homosexual,Employed,Agnosticism,East London,Once or twice,Word of mouth,Weekly,Stratford,Yes,Yes,4,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience, Improved my health",Sometimes,,Yes,,3,3,3,3,3,,,,,,,,,
45691.6905771759,25–34,Female,"Black, Black British, African, or Caribbean",No,Homosexual,Student,Spiritual but not Religious,North West London,Once or twice,Word of mouth,Rarely,Hackney Wick,Not sure,Yes,4,"Improved mood, Assists me with my mental health resilience, Helped me connect with the outdoors",Yes,,Yes,,2,4,5,4,3,Perhaps more changing rooms and also more locker space,,,No,,,North West London,"Sauna health benefits, Sauna etiquette or best practices, Upcoming events",
45691.690695625,25–34,Female,"White (e.g., British, Irish, other European background)",Yes,Heterosexual,Unemployed,Christianity,East London,Once or twice,Word of mouth,Weekly,Hackney Wick,Yes,Yes,5,"Helped with physical pain management, Improved my fitness performance, Improved mood, I made new friends at the sauna, Increased my body confidence",Yes,,Yes,,5,5,5,5,5,,,,Yes,Posters,,Central London,"Sauna health benefits, Upcoming events",
45691.6908168519,35–44,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,North London,I was already a regular sauna user,National newspaper article.,Rarely,Hackney Wick,Yes,Yes,5,"Improved mood, Assists me with my mental health resilience, Improved my health",Yes,,Yes,,5,4,5,5,5,,,,Yes,,,Central London,Upcoming events,
45691.6908478472,35–44,Female,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,East London,Once or twice,Word of mouth,Weekly,Stratford,Yes,Yes,5,"Helped with physical pain management, Improved my fitness performance, Improved my health, Increased my body confidence",Yes,,Yes,It does get quite busy in the evenings but it’s ok ,4,4,5,5,4,Maybe an additional sauna as it can get a bit crowded :),N/a,Maybe more lockers would be handy ,No,,It’s great to have an independent owned business in my local community setting where I get to meet people and it doesn’t feel like it’s run by a big corporation ,,"Sauna health benefits, Sauna etiquette or best practices",
45691.691010081,35–44,Female,"White (e.g., British, Irish, other European background)",No,Bisexual/Pansexual,Employed,Spiritual but not Religious,East London,Once or twice,Instagram,Monthly,Hackney Wick,Yes,Yes,5,"Helped with physical pain management, Improved mood, Assists me with my mental health resilience, Increased my body confidence",Yes,,No,It’s gets very crowded and loud making it hard to relax,2,4,5,5,5,Hair dryers ,,,Yes,Social Media,,North East London,"Sauna health benefits, Sauna etiquette or best practices",
45691.6911759028,25–34,Male,"White (e.g., British, Irish, other European background)",No,Heterosexual,Employed,Atheism,South West London,Never,Word of mouth,Rarely,Peckham,Not sure,Not sure,3,,Yes,,Yes,,4,4,5,5,4,,,,Yes,Social Media,,South West London,Sauna health benefits,
